"Name","Account Category","Billing City","Billing State","Billing Postal Code","Date Subscribed","ID","Config ID","Subscription Status","Subscription Opportunity","Subscription Fee","Twitter"
"GenoRite Pharmacy","Affiliate","Austin","TX","78745","05/27/2014","6dce138a-0224-ef38-bbb1-5384ba6fc763","5123519160","","","$872.00","Yes"
"Paul's Pharmacy - Manhattan, KS","Affiliate","Manhattan","KS","66502","06/19/2014","c1bc0ac3-df7d-24d3-1671-537d0c1276b1","7855391717","","","$872.00","Yes"
"Langhorne Pharmacy","Affiliate","Langhorne","PA","19047","06/19/2014","d7e55c5a-6f11-3af2-c40e-52b8878d452e","2157521100","","","$872.00","Yes"
"Pascack Pharmacy","Affiliate","Hillsdale","NJ","07642","05/20/2014","e89a82a1-9bab-dd67-044e-535976a01dac","2016645500","","","$872.00","Yes"
"X-tra Discount Drugs","Affiliate","Zephyrhills","FL","33542","05/23/2014","8e787d2d-b963-8854-b6c1-53597583a0ef","8137887885","","","$872.00","Yes"
"Trott's Call Field Drug","Affiliate","Wichita Falls","TX","76308","06/26/2014","31b847da-aa9b-eb92-1532-53597667e037","9406921234","","Pro Yearly","$690.00","No"
"King Drug and Home Healthcare","Affiliate","Hinton","Alberta","T7V 2A4","05/13/2014","92d65720-e92e-43e9-f24a-51cb1a875b8b","7808652645","","","$654.00","Yes"
"Main Street Drug","Affiliate","Wilburton","OK","74578","06/05/2014","c60d455f-1da8-437a-05d5-521223040085","9184659300","","","$654.00","Yes"
"Schilling's Pharmacy & Gifts","Affiliate","Kentwood","LA","70444-0000","06/23/2014","2d52ccd5-3af6-9cb3-1511-52a9f3be6b61","9852292501","","Mobile (Yearly)","$392.00","Yes"
"Valley of the Sun Pharmacy","Affiliate","PHOENIX","AZ","85053","06/23/2014","55190263-b8f2-9653-7082-520e99a51406","6028960454","","Pro Monthly","$126.40","Yes"
"New Life Pharmacy","Affiliate","Madera","CA","93637","06/27/2014","3d20a38d-993f-1ca6-a1cd-536cf90a4102","5596744511","","Pro Monthly","$126.00","Yes"
"Rivergate Pharmacy & Compounding Center","Affiliate","Durango","CO","81301","05/19/2014","7d07576b-0f30-3f66-395c-5205065dc277","9703757711","","Mobile (Yearly)","$89.00","No"
"Uptown Drug","Affiliate","Los Angeles","CA","90071","06/02/2014","f6bd0f0f-4dcb-aa77-184f-5154a289eb6b","2136124300","","","$89.00","Yes"
"Homestead Community Pharmacy","Affiliate","Homestead","FL","33030","06/03/2014","a46b0f97-c8a7-ed5b-dc2d-52e2a668ecb2","3052451800","","","$87.20","Yes"
"Family Drug Mart - Slidell","Affiliate","Slidell","LA","70458","05/27/2014","3210090a-6a4e-e26b-a208-5384b86b507b","9856417557","","","$87.20","Yes"
"Sumrall Drug Store","Affiliate","Sumrall","MS","39482","05/28/2014","c410ee0a-9939-139c-df93-51c35557e38f","6017584243","","Pro Monthly","$87.20","Yes"
"University Pharmacy","Affiliate","Detroit","MI","48202","04/23/2015","a71a1226-a918-5815-e5ed-51b73bcbeff4","3138312008","","Digital Marketing (Base)","$39.00","Yes"
"Pill Box Pharmacy and Medical Supply","Affiliate","Pembroke Pines","FL","33026","","cb9f62cc-194f-fa3d-d1c6-525c4bc316c0","","","Pro Monthly","","No"
"LeClaire Family Pharmacy","Affiliate","Alton","IL","62002","","7981ffa1-f4f9-8b67-bb6a-52614fc76559","","","","","Yes"
"Northgate Pharmacy","Affiliate","Waldorf","MD","20602","","31f5b0bd-8358-2fb5-0916-527d161e4069","","","","","No"
"Thrifty White Pharmacy-Tyler","Affiliate","Tyler","MN","56178","","b5220144-fa7b-86fc-7266-522f7bbd6de4","","","","","No"
"Ben's Pharmacy - Parry Sound","Affiliate","Parry Sound","ON","P2A 1T4","","e622dfd0-0ba7-22a6-62c8-52615fe103b8","","","","","No"
"Gus's Drug Store Health Mart Pharmacy-parent","Affiliate","Georgetown","TX","78626","04/15/2015","4dd1bc3d-c2d3-54dd-7142-523888c02fe6","5128632506","","Mobile (Monthly)","","Yes"
"Medicine Man Bonners Ferry","Affiliate","Bonners Ferry","ID","83805","04/30/2015","d25be33f-2c99-e1e8-d9ff-52001c7b652c","2082674021","","Premier Monthly","","Yes"
"Windsor Pharmacy - Levittown, PA","Affiliate","Levittown","PA","19055","","2e62ae98-851c-790b-8960-52b887f21e9b","","","","","No"
"Bertelli's Pharmacy","Affiliate","Atwater","ca","95301","","dc649c12-132f-a085-e58e-51db1d396c36","","","","","No"
"The Medicine Shoppe - Harrisburg, IL","Affiliate","Harrisburg","IL","62946","","8271d63a-bb01-3d6d-399d-51ae13b10921","","","Pro Monthly","","No"
"Beacon Prescriptions - New Britain","Affiliate","New Britain","CT","06053","","d7f30899-be38-d347-cd9a-5256c4449ea2","","","Pro Monthly","","No"
"James Drug Store","Affiliate","Denham Springs","LA","70726","","162e9eb2-0395-2d2a-2028-52a9f375c384","","","","","No"
"Churchill Pharmacy","Affiliate","Bismarck","ND","58501","","8f55e19f-29b2-eb69-5042-51a61c8ff43d","","","","","Yes"
"Clinical Care Pharmacy","Affiliate","Houston","TX","77038","06/03/2015","1a72cfa7-0837-9688-c7b6-516d8d850640","2812728700","","Premier Monthly","","Yes"
"Thrifty Way Pharmacy of Lake Arthur","Affiliate","Lake Arthur","LA","70549","","380750e0-047c-e622-bdbb-52a9f30bbdaa","","","","","No"
"Memphis Drugs","Affiliate","Memphis","MI","48041-4907","","74becd33-0124-e1f9-c8dd-53078b51af32","","","","","No"
"Kennebunk Village Pharmacy","Affiliate","Kennebunk","ME","04043","","21ca0e91-09d9-d546-88f4-521263acfe51","","","Mobile (Monthly)","","Yes"
"Valu-Rite Pharmacy","Affiliate","Bridgeport","TX","76426","","cad00775-b1aa-860e-6b1e-5359750a513c","9406832950","","Pro Monthly","","Yes"
"Roxsan Pharmacy","Affiliate","Beverly Hills","CA","90210","","e45fff5d-722b-8e39-df96-535976a23cdf","","","Prime Free NCPA Member Benefit","","Yes"
